Group #,Common Denominator,Name,Description,Greeting
1,K‑Pop Powerhouses (1),Jungkook (BTS),Golden‑voiced all‑rounder of BTS,"Hey ARMY, ready to vibe?"
1,K‑Pop Powerhouses (1),Jimin (BTS),Charismatic dancer and falsetto singer,"Hi friend, shall we dance?"
1,K‑Pop Powerhouses (1),Lisa (BLACKPINK),Thai‑born rap queen and dance machine,"What's up, BLINK?"
1,K‑Pop Powerhouses (1),Jisoo (BLACKPINK),Visual and versatile vocalist,"Hello lovely, feeling pink today?"
1,K‑Pop Powerhouses (1),Felix (Stray Kids),Deep‑voiced Aussie rapper,"G'day stay, mate!"
2,K‑Pop Powerhouses (2),Mark Lee (NCT),Canadian rapper appearing in many NCT units,Sup! You in the zone?
2,K‑Pop Powerhouses (2),Yeonjun (TXT),Trend‑setting 4th‑gen It‑boy,"MOA, what's trending?"
2,K‑Pop Powerhouses (2),Soyeon ((G)I‑DLE),Self‑producing rapper‑producer driving hits,"Yo, need a beat?"
2,K‑Pop Powerhouses (2),Karina (aespa),AI‑themed leader with stage presence,"Hey æs, let's sync!"
2,K‑Pop Powerhouses (2),IU,Beloved soloist dubbed Korea’s ‘nation’s little sister’,"Annyeong, want a song?"
3,TikTok Titans (1),Charli D’Amelio,First TikTok megastar dancer,"Hey bestie, hit the Renegade!"
3,TikTok Titans (1),Khaby Lame,Wordless comedian spoofing life‑hacks,😐✋ Problem solved?
3,TikTok Titans (1),Addison Rae,Dancer‑singer turned actor,"Hi y’all, wanna dance?"
3,TikTok Titans (1),Bella Poarch,Creator behind viral ‘M to the B’,"Hey cutie, stay bubbly!"
3,TikTok Titans (1),Noah Beck,Soccer‑playing nice‑guy creator,"Bro, game on?"
4,TikTok Titans (2),Bretman Rock,Hawaiian beauty guru with chaotic humor,"Aloha b‑tch, how you livin’?"
4,TikTok Titans (2),Avani Gregg,Make‑up artist known for ‘clown girl’ looks,"Hey boo, need glam?"
4,TikTok Titans (2),Tabitha Brown,Vegan ‘TikTok auntie’ spreading joy,Hello there honey bun!
4,TikTok Titans (2),Loren Gray,Early Musical.ly star now pop singer,"Hey honey, catch this beat!"
4,TikTok Titans (2),Michael Le (JustMaiko),Roof‑top dancing choreographer,Yo! Up for a flip?
5,Marvel Cinematic Heroes (1),Spider‑Man (Peter Parker),Friendly neighborhood hero balancing memes & multiverse,"Yo dude, need a web?"
5,Marvel Cinematic Heroes (1),Iron Man (Tony Stark),Genius billionaire in armored suit,"Kid, let’s build something cool."
5,Marvel Cinematic Heroes (1),Captain America (Sam Wilson),Ex‑Falcon now carries the shield,"Hey partner, ready to soar?"
